id,user_id,customer_name,email,phone,address,timestamp,status,total_amount,sale_type
1,2.0,Online Customer 663,online_686@gmail.com,9876519579,"Mumbai Suburban Area, India",2022-07-27T15:05:02.171307,Delivered,904.18,online
2,,Online Customer 672,online_980@gmail.com,9876541012,"Mumbai Suburban Area, India",2022-07-27T14:25:02.171307,Delivered,15448.18,online
3,2.0,Online Customer 882,online_799@gmail.com,9876585154,"Mumbai Suburban Area, India",2022-07-28T20:40:51.171307,Delivered,1810.49,online
4,2.0,Online Customer 844,online_859@gmail.com,9876538376,"Mumbai Suburban Area, India",2022-07-29T12:04:31.171307,Delivered,1117.12,online
5,2.0,Online Customer 125,online_764@gmail.com,9876566009,"Mumbai Suburban Area, India",2022-07-29T13:02:02.171307,Delivered,71944.24,online
6,2.0,Online Customer 804,online_384@gmail.com,9876575636,"Mumbai Suburban Area, India",2022-07-29T19:16:17.171307,Pending,424.63,online
7,2.0,Online Customer 429,online_795@gmail.com,9876583482,"Mumbai Suburban Area, India",2022-07-30T14:58:35.171307,Delivered,33554.67,online
8,,Online Customer 637,online_92@gmail.com,9876515099,"Mumbai Suburban Area, India",2022-07-30T09:52:29.171307,Delivered,221.74,online
9,2.0,Online Customer 213,online_620@gmail.com,9876586969,"Mumbai Suburban Area, India",2022-07-31T12:57:42.171307,Delivered,32712.33,online
10,2.0,Online Customer 252,online_245@gmail.com,9876513326,"Mumbai Suburban Area, India",2022-07-31T19:28:41.171307,Delivered,1847.9,online
11,2.0,Online Customer 696,online_765@gmail.com,9876542799,"Mumbai Suburban Area, India",2022-08-01T11:44:34.171307,Delivered,2876.13,online
12,,Online Customer 709,online_122@gmail.com,9876579119,"Mumbai Suburban Area, India",2022-08-01T15:05:51.171307,Delivered,60535.25,online
13,,Online Customer 439,online_439@gmail.com,9876565382,"Mumbai Suburban Area, India",2022-08-01T18:14:21.171307,Delivered,3261.11,online
14,2.0,Online Customer 844,online_669@gmail.com,9876566822,"Mumbai Suburban Area, India",2022-08-02T16:53:16.171307,Delivered,440.14,online
15,,Online Customer 971,online_917@gmail.com,9876578434,"Mumbai Suburban Area, India",2022-08-02T13:11:29.171307,Delivered,406.72,online
16,2.0,Online Customer 566,online_271@gmail.com,9876577059,"Mumbai Suburban Area, India",2022-08-02T17:12:22.171307,Delivered,14030.47,online
17,,Online Customer 781,online_144@gmail.com,9876517321,"Mumbai Suburban Area, India",2022-08-02T19:12:40.171307,Delivered,4198.44,online
18,,Online Customer 526,online_191@gmail.com,9876594396,"Mumbai Suburban Area, India",2022-08-04T12:00:42.171307,Delivered,8733.12,online
19,,Online Customer 731,online_352@gmail.com,9876513113,"Mumbai Suburban Area, India",2022-08-04T14:45:56.171307,Delivered,1222.49,online
20,,Online Customer 399,online_811@gmail.com,9876518096,"Mumbai Suburban Area, India",2022-08-05T19:48:41.171307,Delivered,367.0,online
21,,Online Customer 789,online_390@gmail.com,9876596666,"Mumbai Suburban Area, India",2022-08-05T19:10:45.171307,Delivered,1146.03,online
22,,Online Customer 409,online_567@gmail.com,9876565585,"Mumbai Suburban Area, India",2022-08-05T16:48:03.171307,Delivered,4113.34,online
23,,Online Customer 570,online_906@gmail.com,9876544732,"Mumbai Suburban Area, India",2022-08-05T16:17:15.171307,Delivered,56975.33,online
24,,Online Customer 250,online_953@gmail.com,9876519392,"Mumbai Suburban Area, India",2022-08-06T21:45:16.171307,Delivered,415.71,online
25,2.0,Online Customer 361,online_555@gmail.com,9876529110,"Mumbai Suburban Area, India",2022-08-06T14:21:26.171307,Delivered,15203.34,online
26,2.0,Online Customer 528,online_898@gmail.com,9876590605,"Mumbai Suburban Area, India",2022-08-06T21:11:47.171307,Delivered,3098.44,online
27,,Online Customer 222,online_824@gmail.com,9876543149,"Mumbai Suburban Area, India",2022-08-07T21:45:02.171307,Delivered,331.18,online
28,,Online Customer 694,online_364@gmail.com,9876515973,"Mumbai Suburban Area, India",2022-08-07T12:44:47.171307,Delivered,296.53,online
29,,Online Customer 273,online_171@gmail.com,9876579017,"Mumbai Suburban Area, India",2022-08-07T11:00:18.171307,Pending,1191.25,online
30,2.0,Online Customer 957,online_95@gmail.com,9876511206,"Mumbai Suburban Area, India",2022-08-07T12:41:19.171307,Delivered,175.11,online
